name,serialNumber,status,address,deviceTypeId,longitude,latitude,coord_x,coord_y
BI-RUI-001,051999999991001,1,RODRIGUEZ ARIAS   71 BIS,1,-2.944465,43.263875,-2.944465,43.2638751
BI-RUI-004,051999999991004,1,PLAZA UNAMUNO FAROLA 13,1,-2.921691,43.258396,-2.921691,43.2583961
BI-RUI-005,051999999991005,1,MARIA MUÑOZ FRENTE 2 ,1,-2.921992,43.257555,-2.921992,43.2575551
BI-RUI-006,051999999991006,1,BARRENKALE   7 ,1,-2.925136,43.256697,-2.925136,43.2566971
BI-RUI-007,051999999991007,1,AVENIDA MADARIAGA 3-5,1,-2.944399,43.271091,-2.944399,43.2710911
BI-RUI-008,051999999991008,1,ITURRIBIDE 30,1,-2.927927,43.262351,-2.927927,43.2623511
BI-RUI-009,051999999991009,1,SANTA MARIA 18,1,-2.925421,43.257746,-2.925421,43.2577461
BI-RUI-010,051999999991010,1,BARRENKALE BARRENA 7,1,-2.925336,43.257225,-2.925336,43.2572251
BI-RUI-011,051999999991011,1,JARDINES 6,1,-2.925043,43.258266,-2.925043,43.2582661
BI-RUI-013,051999999991013,1,JARDINES FRENTE 1,1,-2.925437,43.258179,-2.925437,43.2581791
BI-RUI-015,051999999991015,1,DE LA TORRE 5,1,-2.924639,43.257559,-2.924639,43.2575591
BI-RUI-016,051999999991016,1,DE LA TORRE ESQUINA BARRENKALE BARRENA,1,-2.925122,43.257497,-2.925122,43.2574971
BI-RUI-017,051999999991017,1,SOMERA FRENTE 43 ALDAXKA,1,-2.9224,43.257373,-2.9224,43.2573731
BI-RUI-019,051999999991019,1,ZUNZUNEGUI JUNTO BOCA METRO,1,-2.948616,43.261587,-2.948616,43.2615871
BI-RUI-020,051999999991020,1,POZA 48,1,-2.942415,43.262463,-2.942415,43.2624631
BI-RUI-021,051999999991021,1,POZA 53 ,1,-2.941606,43.262206,-2.941606,43.2622061
BI-RUI-022,051999999991022,1,POZA 30,1,-2.940446,43.262031,-2.940446,43.2620311
BI-RUI-023,051999999991023,1,ZARANDOA ESQUINA COLEGIO,1,-2.96494,43.280629,-2.96494,43.2806291
BI-RUI-025,051999999991025,1,PRINCIPE 1,1,-2.924567,43.261992,-2.924567,43.2619921
BI-RUI-BR1,051999999992001,1,PARQUE ARENAL FAROLA,1,-2.927927,43.262351,-2.927927,43.2623511
BI-RUI-BR11,051999999992011,1,ZABALBIDE CON SANTA CLARA,1,-2.912525,43.255666,-2.912525,43.2556661
BI-RUI-BR15,101692098863992,2,ALAMEDA URQUIJO CON DOCTOR AREILZA,1,-2.942425,43.261366,-2.942425,43.2613661
BI-RUI-BR2,051999999992002,1,FRENTE IGLESIA DE SAN VICENTE (ANTZOKI),1,-2.928264,43.263558,-2.928264,43.2635581
BI-RUI-BR5,051999999992005,1,VIUDA DE EPALZA FRENTE 11,1,-2.923117,43.261757,-2.923117,43.2617571
BI-RUI-BR6,051999999992006,1,ROTONDA GARAIZAR,1,-2.9033,43.260261,-2.9033,43.2602611
BI-RUI-BR7,051999999992007,2,LOS CAÑOS DEBAJO SOLUCION SUR,1,-2.920237,43.24661,-2.920237,43.2466101
BI-RUI-BR8,051999999992008,1,ZURBARAN CON PARTICULAR DE ZURBARAN,1,-2.916145,43.263939,-2.916145,43.2639391
BI-RUI-C001,051999999993001,1,URIBITARTE 10 (ISOZAKI),1,-2.928951,43.26524,-2.928951,43.2652401
BI-RUI-C002,051999999993002,1,URIBITARTE 6,1,-2.927694,43.264163,-2.927694,43.2641631
BI-RUI-C003,051999999993003,1,MUELLE RIPA (RIA),1,-2.924641,43.261251,-2.924641,43.2612511
BI-RUI-C004,051999999993004,1,ESCALINATA DE URIBITARTE (S. VICENTE),1,-2.927887,43.264189,-2.927887,43.2641891
BI-RUI-C005,259962996275344,1,SOMERA 8,1,-2.922789,43.256406,-2.922789,43.2564061
BI-RUI-C006,051999999993006,1,VIUDA DE EPALZA 3,1,-2.922792,43.261024,-2.922792,43.2610241
BI-RUI-C007,51999999991001,1,RODRIGUEZ ARIAS 71 BIS,1,-2.944465,43.263875,-2.944465,43.2638751
BI-RUI-C008,051999999993008,1,RIPA 5,1,-2.924745,43.261605,-2.924745,43.2616051
BI-RUI-C009,051999999993009,1,SOMERA 39,1,-2.922527,43.256988,-2.922527,43.2569881
BI-RUI-C010,051999999993010,1,ARBOLANTXA FRENTE 6,1,-2.928447,43.264406,-2.928447,43.2644061
BI-RUI-C011,4720187165580,1,Jardines de Albia (frente a fuente),1,-2.928189,43.262887,-2.928189,43.2628871
BI-RUI-C012,335025556364,2,Ibañez de Bilbao (frente a Azkena),1,-2.929862,43.263619,-2.929862,43.2636191
BI-RUI-C013,93385137277376,1,Colón de Larreategui 5,1,-2.92688,43.262285,-2.92688,43.2622851
BI-RUI-C014,92672527453068,1,Iparraguirre 16,1,-2.935306,43.266038,-2.935306,43.2660381
BI-RUI-C015,62624880565532,1,Juan de Ajuriaguerra 14,1,-2.93266,43.26567,-2.93266,43.2656701
BI-RUI-C016,110281893366668,1,Diputación 4,1,-2.93203,43.263171,-2.93203,43.2631711
BI-RUI-C017,88213805262484,1,Berastegui 4,1,-2.927927,43.262351,-2.927927,43.2623511
BI-RUI-C018,171837364652940,1,Ledesma 6,1,-2.927146,43.261879,-2.927146,43.2618791
BI-RUI-C019,83885024365452,1,Ledesma 7,1,-2.928776,43.262244,-2.928776,43.2622441
BI-RUI-C020,233588181730096,1,Ledesma 10 bis,1,-2.928391,43.262172,-2.928391,43.2621721
BI-RUI-C021,31709406906816,1,Ledesma 30,1,-2.930848,43.262719,-2.930848,43.2627191
BI-RUI-C022,9579321264820,1,Villarias 2,1,-2.925193,43.261459,-2.925193,43.2614591
BI-RUI-C023,18439918662120,1,Botica Vieja  (TOYOTA),1,-2.946357,43.268664,-2.946357,43.2686641
BI-RUI-C024,9381832634856,1,Avenida de las Universidades 8,1,-2.934714,43.270142,-2.934714,43.2701421
BI-RUI-C025,172577704980968,1,Luis Brinas con Pozas 5,1,-2.947089,43.263329,-2.947089,43.2633291
BI-RUI-C030,84327266426140,1,Egaña kalea 6,1,-2.93649,43.258043,-2.93649,43.2580431
BI-RUI-C031,110110000866724,1,Egaña kalea 2,1,-2.936177,43.257998,-2.936177,43.2579981
BI-RUI-C032,158638930152332,1,Particular Indautxu 3,1,-2.940836,43.261551,-2.940836,43.2615511
BI-RUI-C033,114731368900004,1,Maestro García Rivero 5,1,-2.938913,43.26019,-2.938913,43.2601901
BI-RUI-C034,22635509719416,1,Aretxabaleta 6,1,-2.941152,43.260501,-2.941152,43.2605011
BI-RUI-P001,53696331516452,1,PLAZA NUEVA 15,1,-2.922658,43.259361,-2.922658,43.2593611
BI-RUI-P002,13697301088804,1,PLAZA NUEVA (BALCÓN ASOCIACIÓN COMERCIANTES),1,-2.922321,43.259093,-2.922321,43.2590931
BI-RUI-P003,145922164263460,1,PLAZA NUEVA 5,1,-2.922734,43.258821,-2.922734,43.2588211
BI-RUI-P004,211957269662244,1,PLAZA NUEVA 2,1,-2.923018,43.259105,-2.923018,43.2591051
BI-RUI-P005,215537962324300,1,AUTONOMÍA 33 (ESQUINA GORDÓNIZ)(CÁMARA TRÁFICO),1,-2.941332,43.257536,-2.941332,43.2575361
BI-RUI-P006,35593044363812,1,JUAN DE GARAI (ROTONDA)(CÁMARA TRÁFICO),1,-2.935071,43.25037,-2.935071,43.2503701
BI-RUI-P007,264832628820516,1,LEHENDAKARI AGUIRRE  20-26,1,-2.947327,43.272064,-2.947327,43.2720641
BI-RUI-P008,259557082141004,1,MAURICE RAVEL (CON SAN VALENTÍN BERRIOTXOA),1,-2.917268,43.266914,-2.917268,43.2669141
BI-RUI-P009,180634089949732,1,ALAMEDA REKALDE 27,1,-2.934442,43.264067,-2.934442,43.2640671
BI-RUI-P010,106493020868940,1,FRAY JUAN 24,1,-2.974022,43.277335,-2.974022,43.2773351
BI-RUI-P011,193547729768780,2,CAMPO VOLANTÍN (CON MUGICA)(CÁMARA TRÁFICO),1,-2.927817,43.267275,-2.927817,43.2672751
BI-RUI-P012,4474679464268,1,SANTUTXU (CON KARMELO 1)(CÁMARA TRÁFICO),1,-2.915837,43.253675,-2.915837,43.2536751
BI-RUI-P013,263912178979148,1,GORDÓNIZ (CON GOYA)(CÁMARA TRÁFICO),1,-2.946182,43.252719,-2.946182,43.2527191
BI-RUI-P014,110891067380044,1,MONTEVIDEO (FRENTE HOSPITAL)(CÁMARA TRÁFICO),1,-2.954683,43.26077,-2.954683,43.2607701
